Address,Wallet Total Value,Update Time,ETH Amount,ETH Value,Spot Value,Lido Value,DeFi Swap Value
0xc6a3dd077a4fca564d5c5c78eaacc29ba63570ec,1263526,2024/01/31,540.7306,1263498,1263526,0,0
0x7312392007aa71cec3fe2994e22e040979ed86da,1263255,2024/01/31,540.6267,1263255,1263255,0,0
0x1174398983161c40391f8e82b5cf3c162deae2f4,1263194,2024/01/31,540.5883,1263160,1263194,0,0
0x6dc8a46ab80ed97e4073b96f78554a536e2e7152,1262715,2024/01/31,540.2555,1262669,1262715,0,0
0x66f30a4907f452775b3f189bd3c20621663fba58,1262671,2024/01/31,540.379,1262671,1262671,0,0
0x04aa5b084e018347a98568cc5bbdf1c49ba68218,1262308,2024/01/31,540.0944,1262292,1262308,0,0
0x3097df3bb5cb5039ae090be444103f96bd45340a,1262094,2024/01/31,539.93,1262049,1262094,0,0
0x9ce4b2dc3177382bb307ae1b54417af812386a85,1261715,2024/01/31,539.7778,1261693,1261715,0,0
0x85627b1abfb2f2e41e1bcf09db90014ab2d30055,1261213,2024/01/31,539.5561,1261212,1261213,0,0
0x193a8d974f2c7b0e2c3816183fc784fef746f0d4,1261109,2024/01/31,539.5118,1261109,1261109,0,0
0x577146907fd86113aa0a649758ce2b742e995808,1260113,2024/01/31,548.0021,1257270,1257270,0,0
0x690bbb868ccf412c9f0650bddf13c91651123357,1259712,2024/01/31,539,1259697,1259712,0,0
0x16636a65e499b000747d46c6d485b8678564e4cf,1259711,2024/01/31,539.0058,1259711,1259711,0,0
0xf1d70bdd1fdb48a80fdfa8f2536e8d08ee02c054,1258562,2024/01/31,538.495,1258517,1258562,0,0
0x5b3323790e381a3673637a213490ae594e9b367b,1258414,2024/01/31,538.4511,1258414,1258414,0,0
0x7dc86f11b23f8b9e0760225db49ea6dd25349ea1,1257317,2024/01/31,537.6281,1257270,1257317,0,0
0x85edc7cb230e15d7b8cff04803f9e812360ae2d2,1257251,2024/01/31,537.76,1257251,1257251,0,0
0xb92a344795956bf533e0b0035fbf0e146858db87,1257236,2024/01/31,537.6134,1257236,1257236,0,0
0x31bbeb006e1764a4a718798275c5626d46022f32,1257182,2024/01/31,537.5902,1257182,1257182,0,0
0x5299b1cc04a4a6bdb2272c560a4911ba3d7ec40e,1257066,2024/01/31,537.5385,1257066,1257066,0,0
0x46be2f9dc93fd483f9fb0bcc33610dd5ccf2bcac,1255220,2024/01/31,536.7307,1255204,1255220,0,0
0xa9ce302c93b06d0964a36988e967f81bec679d7e,1255208,2024/01/31,536.5857,1255208,1255208,0,0
0x378503fb8cb10113da7120a30dbaa64abf91bb8d,1254911,2024/01/31,536.4523,1254896,1254911,0,0
0x7ad26714986d1e513d553546ee2e003fc0ff1f95,1254890,2024/01/31,536.5956,1254888,1254890,0,0
0x2644d7bfbd6785823ae39906aaec7dc1f342816e,1254716,2024/01/31,514.5749,1188565,1254716,0,0
0xa9e3e285a37c3a22a00811d463a3bb35acef8ae7,1254522,2024/01/31,530.1005,1240992,1254522,0,0
0xa5838b8c7108e14453d6682e773fcc76fad0075d,1254500,2024/01/31,541.578,1253314,1254500,0,0
0x7ac6433058e1df596d9dc764ba35a4b55037f0c5,1254332,2024/01/31,536.2062,1254315,1254332,0,0
0xc249cce3713b1a4b1d9cd0681ed2299f00a797a8,1254071,2024/01/31,536.0994,1254071,1254071,0,0
0x498f127b07df5dcf90cbce5083d756e8a44281eb,1253703,2024/01/31,535.9353,1253687,1253703,0,0
0x47c4d877cd4a611da9b9b806033202973a41b37c,1253426,2024/01/31,524.2185,1226991,1253426,0,0
0xbaaba21899e0e1a3d901765d70e64e673158e266,1252586,2024/01/31,535.5867,1252582,1252586,0,0
0xa9d62007b01cb7ce2044b93e981edaac31306f37,1252528,2024/01/31,535.9787,1252513,1252528,0,0
0xe637a2acbc531531700fcb7d2ed7e6d96ed8bbe8,1252396,2024/01/31,211.3767,494710.30,503342,0,0
0x17382ef40465f06dc2c6158104e709b0fbcece70,1252192,2024/01/31,535.445,1252192,1252192,0,0
0xd72a0bea59b07f7e7f767f699580e67aa2f54f65,1251286,2024/01/31,535.0243,1251267,1251286,0,0
0xd3251302a6d4edcce7f1b9e8c76e84079a3ad7ce,1251068,2024/01/31,534.9177,1251017,1251068,0,0
0x148e27e5828039c6f819f21fb45bd3327d064cca,1250181,2024/01/31,532.829,1247246,1247246,0,0
